,125_fS_0.75x,250_fS_0.75x,1000_fS_0.75x,125_fS_1x,250_fS_1x,1000_fS_1x,125_fS_1.3x,250_fS_1.3x,1000_fS_1.3x,125_oM_0.75x,250_oM_0.75x,1000_oM_0.75x,125_oM_1x,250_oM_1x,1000_oM_1x,125_oM_1.3x,250_oM_1.3x,1000_oM_1.3x
125_fS_0.75x,1.0,0.6952455215475614,0.7273562034130733,0.7089167718618479,0.7337945587987852,0.677373171204613,0.6497620238845105,0.5983458253899296,0.6087545406928746,0.8005134582615993,0.7729342749948362,0.6057152534604929,0.5729198777354538,0.792691835345985,0.6513631859620616,0.5646482437353203,0.6588954112267715,0.5157560722732522
250_fS_0.75x,0.6952455215475614,1.0,0.8243098080549047,0.87079923050663,0.8247361142079953,0.7219144566633081,0.7850424332368054,0.7772095788514986,0.7488603042106887,0.7610739364901508,0.6802909638073281,0.6792323840700075,0.6424953897693483,0.703447471016334,0.616380175323204,0.6028861124794096,0.7991489677895015,0.7887953933826928
1000_fS_0.75x,0.7273562034130733,0.8243098080549047,1.0,0.7149113651361761,0.8660596905952047,0.8774690889647134,0.6776052176614393,0.7314417666684566,0.8044386864091712,0.7587785473871805,0.7974888113890988,0.8349069098641118,0.49760836318823953,0.7656738338677571,0.8327005327121346,0.48454337424120686,0.7588101621831144,0.8766833636064988
125_fS_1x,0.7089167718618479,0.87079923050663,0.7149113651361761,1.0,0.7823934844837557,0.669670860458789,0.81058957475244,0.787292148896827,0.7548876281783639,0.7477173896511514,0.5869304241580696,0.5855092099676371,0.7095895108200643,0.6661911600358432,0.5144577315647842,0.549820369938558,0.7226494686764103,0.6293948233470702
250_fS_1x,0.7337945587987852,0.8247361142079953,0.8660596905952047,0.7823934844837557,1.0,0.8188273191221881,0.8455144260156291,0.8212068998423644,0.8611684755028406,0.8171253543620121,0.7404500523072627,0.7155057491152848,0.5671113106155298,0.7316900980100991,0.7024333866886869,0.5855300359611009,0.8710591092476768,0.8196260630325026
1000_fS_1x,0.677373171204613,0.7219144566633081,0.8774690889647134,0.669670860458789,0.8188273191221881,1.0,0.6974270706471977,0.8319188911637809,0.8913270713543462,0.6791263116189709,0.6932511884313921,0.8939009936137421,0.5502818887377862,0.6911392048610182,0.7179016757138965,0.4734363805584387,0.7012699790957133,0.7767778830743439
125_fS_1.3x,0.6497620238845105,0.7850424332368054,0.6776052176614393,0.81058957475244,0.8455144260156291,0.6974270706471977,1.0,0.8424496289363088,0.8173926008358988,0.7357902014097213,0.599993488789128,0.5216940173970289,0.6175553942830122,0.6714705088413889,0.5003370524353294,0.6959038331626235,0.8264575987747391,0.6849597793580255
250_fS_1.3x,0.5983458253899296,0.7772095788514986,0.7314417666684566,0.787292148896827,0.8212068998423644,0.8319188911637809,0.8424496289363088,1.0,0.9184978535020402,0.6304186241042844,0.5703540256120279,0.7178597986639808,0.6715622499291638,0.6490218255008517,0.5381608489321115,0.5920785367881307,0.7452226936233303,0.7027945763061751
1000_fS_1.3x,0.6087545406928746,0.7488603042106887,0.8044386864091712,0.7548876281783639,0.8611684755028406,0.8913270713543462,0.8173926008358988,0.9184978535020402,1.0,0.6673669237485736,0.5980472208426223,0.7616604441370939,0.5651279490051476,0.640671436949005,0.630718806670534,0.5238974637898139,0.7626517434852029,0.7654386831110979
125_oM_0.75x,0.8005134582615993,0.7610739364901508,0.7587785473871805,0.7477173896511514,0.8171253543620121,0.6791263116189709,0.7357902014097213,0.6304186241042844,0.6673669237485736,1.0,0.7615066355680823,0.646712545505892,0.6573124141840494,0.7435510704753594,0.7129939649188265,0.6566961968135667,0.819765356066763,0.7166954063307535
250_oM_0.75x,0.7729342749948362,0.6802909638073281,0.7974888113890988,0.5869304241580696,0.7404500523072627,0.6932511884313921,0.599993488789128,0.5703540256120279,0.5980472208426223,0.7615066355680823,1.0,0.7348760043965157,0.5281770916533154,0.8937913152545344,0.861885887172364,0.5491474576105911,0.7258409379228724,0.7117067214610179
1000_oM_0.75x,0.6057152534604929,0.6792323840700075,0.8349069098641118,0.5855092099676371,0.7155057491152848,0.8939009936137421,0.5216940173970289,0.7178597986639808,0.7616604441370939,0.646712545505892,0.7348760043965157,1.0,0.6014814377143122,0.700641179691901,0.8092775770302382,0.42413475342671486,0.6416819243607387,0.7996071620647971
125_oM_1x,0.5729198777354538,0.6424953897693483,0.49760836318823953,0.7095895108200643,0.5671113106155298,0.5502818887377862,0.6175553942830122,0.6715622499291638,0.5651279490051476,0.6573124141840494,0.5281770916533154,0.6014814377143122,1.0,0.6292178994620515,0.4142809241222193,0.6089930406930422,0.6460207825195146,0.5472726293568331
250_oM_1x,0.792691835345985,0.703447471016334,0.7656738338677571,0.6661911600358432,0.7316900980100991,0.6911392048610182,0.6714705088413889,0.6490218255008517,0.640671436949005,0.7435510704753594,0.8937913152545344,0.700641179691901,0.6292178994620515,1.0,0.7897673669891602,0.6285463127272113,0.7568298857677302,0.675169606470238
1000_oM_1x,0.6513631859620616,0.616380175323204,0.8327005327121346,0.5144577315647842,0.7024333866886869,0.7179016757138965,0.5003370524353294,0.5381608489321115,0.630718806670534,0.7129939649188265,0.861885887172364,0.8092775770302382,0.4142809241222193,0.7897673669891602,1.0,0.4455602953309595,0.6760810258133995,0.7924658736676815
125_oM_1.3x,0.5646482437353203,0.6028861124794096,0.48454337424120686,0.549820369938558,0.5855300359611009,0.4734363805584387,0.6959038331626235,0.5920785367881307,0.5238974637898139,0.6566961968135667,0.5491474576105911,0.42413475342671486,0.6089930406930422,0.6285463127272113,0.4455602953309595,1.0,0.7317263546680443,0.5441778101641445
250_oM_1.3x,0.6588954112267715,0.7991489677895015,0.7588101621831144,0.7226494686764103,0.8710591092476768,0.7012699790957133,0.8264575987747391,0.7452226936233303,0.7626517434852029,0.819765356066763,0.7258409379228724,0.6416819243607387,0.6460207825195146,0.7568298857677302,0.6760810258133995,0.7317263546680443,1.0,0.8379865684841188
1000_oM_1.3x,0.5157560722732522,0.7887953933826928,0.8766833636064988,0.6293948233470702,0.8196260630325026,0.7767778830743439,0.6849597793580255,0.7027945763061751,0.7654386831110979,0.7166954063307535,0.7117067214610179,0.7996071620647971,0.5472726293568331,0.675169606470238,0.7924658736676815,0.5441778101641445,0.8379865684841188,1.0
